threshold,accuracy,balanced_accuracy,precision,recall,f1_score,true_positive,true_negative,false_positive,false_negative,predicted_positive_rate,model
0.4,0.7440100882723834,0.7984912103396058,0.3584090909090909,0.8765981100611451,0.5087917406033231,1577,7273,2823,222,0.36990332072299287,gradient_boosting_light
0.45,0.7650273224043715,0.8010508237099498,0.37746062992125984,0.8526959421901056,0.5232815964523282,1534,7566,2530,265,0.3416561580496007,gradient_boosting_light
0.5,0.7879781420765027,0.8054347249176115,0.40258690379951495,0.830461367426348,0.5422867513611616,1494,7879,2217,305,0.3119798234552333,gradient_boosting_light
0.55,0.8089953762084909,0.8036545935010557,0.42912795924483066,0.7959977765425236,0.557632398753894,1432,8191,1905,367,0.2805380411937789,gradient_boosting_light
0.6000000000000001,0.8278268179907524,0.8012720462768099,0.4584307178631052,0.763201778765981,0.572799332498957,1373,8474,1622,426,0.251786464901219,gradient_boosting_light
0.65,0.8467423287095418,0.7898027188022224,0.4953343701399689,0.708171206225681,0.5829329672843743,1274,8798,1298,525,0.2162253047498949,gradient_boosting_light
0.7000000000000001,0.8608659100462379,0.7764241216506089,0.532520325203252,0.6553640911617565,0.5875903314228756,1179,9061,1035,620,0.18612862547288778,gradient_boosting_light
0.75,0.8728877679697352,0.7572392579871368,0.5779467680608364,0.5914396887159533,0.5846153846153846,1064,9319,777,735,0.15477091214796132,gradient_boosting_light
0.8,0.8777637662883565,0.7137449357760827,0.6252723311546841,0.4785992217898833,0.542191435768262,861,9580,516,938,0.11576292559899118,gradient_boosting_light
0.8500000000000001,0.8756620428751576,0.65883103088615,0.6716738197424893,0.3479710950528071,0.4584401318198462,626,9790,306,1173,0.07835224884405212,gradient_boosting_light
0.9,0.8581757040773434,0.5439192314095963,0.75,0.0933852140077821,0.16608996539792387,168,10040,56,1631,0.018831441782261454,gradient_boosting_light
0.9500000000000001,0.8487599831862127,0.5,0.0,0.0,0.0,0,10096,0,1799,0.0,gradient_boosting_light
